x,y
1.39672742429704,0.05
1.42460387677954,0.06
1.45725485125939,0.07
1.49926478590517,0.08
1.54376875474705,0.09
1.59099564988644,0.11
1.64120325633728,0.13
1.69468295950028,0.14
1.74912109926076,0.16
1.80147477624085,0.18
1.85104283304221,0.2
1.8971248890657,0.22
1.94226834808491,0.24
1.98961261955196,0.26
2.03932266394723,0.29
2.09158035021425,0.31
2.14258039988249,0.33
2.19189781667109,0.35
2.24357967500271,0.37
2.29771497405486,0.39
2.35457204170386,0.41
2.40920078503002,0.43
2.46113702681779,0.45
2.52088526523392,0.47
2.607185364315,0.5
2.73166255397903,0.51
2.88282877604167,0.5
3.02741368364507,0.49
3.14346889102987,0.47
3.24100640439158,0.44
3.32532385677887,0.42
3.4763689892051,0.4
3.6651501714556,0.38
3.81104417053453,0.36
3.94177847014688,0.34
4.03858957654723,0.31
4.11526486988848,0.28
4.16433345648742,0.25
4.19931244707875,0.22
4.22420701168614,0.19
4.22881749036461,0.16
4.24401656739919,0.14
4.2537722578653,0.11
4.27430275450753,0.09
4.28419834139599,0.06
4.38744116918504,0.03
7.00000000000000,0.00
8.00000000000000,0.00
20.0000000000000,0.00
